source_name,extracted_at,location_id,city_name,country_code,date,latitude,longitude,timezone,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max
recent_weather,2026-07-01T14:51:26+00:00,3117735,Madrid,ES,2026-05-03,40.4375,-3.6875,Europe/Madrid,18.8,12.0,15.1,3.7,0.8,0.0,16.1
recent_weather,2026-07-01T14:51:26+00:00,3117735,Madrid,ES,2026-05-04,40.4375,-3.6875,Europe/Madrid,19.6,10.1,14.7,2.0,0.0,0.0,17.9
recent_weather,2026-07-01T14:51:26+00:00,3117735,Madrid,ES,2026-05-05,40.4375,-3.6875,Europe/Madrid,19.3,9.7,14.1,0.4,0.0,0.0,14.8
recent_weather,2026-07-01T14:51:26+00:00,3117735,Madrid,ES,2026-05-06,40.4375,-3.6875,Europe/Madrid,19.9,6.9,13.8,0.0,0.0,0.0,6.4
recent_weather,2026-07-01T14:51:26+00:00,3117735,Madrid,ES,2026-05-07,40.4375,-3.6875,Europe/Madrid,17.8,11.0,14.0,2.0,0.0,0.0,10.5
recent_weather,2026-07-01T14:51:26+00:00,3117735,Madrid,ES,2026-05-08,40.4375,-3.6875,Europe/Madrid,18.2,10.1,13.2,2.5,0.3,0.0,7.9
recent_weather,2026-07-01T14:51:26+00:00,3117735,Madrid,ES,2026-05-09,40.4375,-3.6875,Europe/Madrid,17.3,12.6,14.1,10.6,0.3,0.0,14.2
recent_weather,2026-07-01T14:51:26+00:00,3117735,Madrid,ES,2026-05-10,40.4375,-3.6875,Europe/Madrid,14.5,10.7,12.4,9.4,0.8,0.0,13.9
recent_weather,2026-07-01T14:51:26+00:00,3117735,Madrid,ES,2026-05-11,40.4375,-3.6875,Europe/Madrid,18.1,9.3,13.6,0.0,0.0,0.0,12.5
recent_weather,2026-07-01T14:51:26+00:00,3117735,Madrid,ES,2026-05-12,40.4375,-3.6875,Europe/Madrid,16.2,10.6,13.5,3.8,0.0,0.0,13.8
recent_weather,2026-07-01T14:51:26+00:00,3117735,Madrid,ES,2026-05-13,40.4375,-3.6875,Europe/Madrid,20.1,10.1,14.8,0.3,0.0,0.0,12.1
recent_weather,2026-07-01T14:51:26+00:00,3117735,Madrid,ES,2026-05-14,40.4375,-3.6875,Europe/Madrid,21.9,11.3,16.4,0.1,0.0,0.0,14.1
recent_weather,2026-07-01T14:51:26+00:00,3117735,Madrid,ES,2026-05-15,40.4375,-3.6875,Europe/Madrid,16.6,10.2,13.5,1.1,0.0,0.0,12.9
recent_weather,2026-07-01T14:51:26+00:00,3117735,Madrid,ES,2026-05-16,40.4375,-3.6875,Europe/Madrid,20.3,6.4,13.6,0.0,0.0,0.0,6.6
recent_weather,2026-07-01T14:51:26+00:00,3117735,Madrid,ES,2026-05-17,40.4375,-3.6875,Europe/Madrid,21.7,10.9,16.0,0.4,0.0,0.0,10.6
recent_weather,2026-07-01T14:51:26+00:00,3117735,Madrid,ES,2026-05-18,40.4375,-3.6875,Europe/Madrid,23.3,10.4,17.1,0.0,0.0,0.0,13.0
recent_weather,2026-07-01T14:51:26+00:00,3117735,Madrid,ES,2026-05-19,40.4375,-3.6875,Europe/Madrid,26.1,12.3,19.6,0.0,0.0,0.0,8.0
recent_weather,2026-07-01T14:51:26+00:00,3117735,Madrid,ES,2026-05-20,40.4375,-3.6875,Europe/Madrid,29.5,13.2,22.1,0.0,0.0,0.0,6.9
recent_weather,2026-07-01T14:51:26+00:00,3117735,Madrid,ES,2026-05-21,40.4375,-3.6875,Europe/Madrid,31.1,15.2,23.6,0.0,0.0,0.0,7.9
recent_weather,2026-07-01T14:51:26+00:00,3117735,Madrid,ES,2026-05-22,40.4375,-3.6875,Europe/Madrid,31.8,16.1,24.7,0.0,0.0,0.0,11.5
recent_weather,2026-07-01T14:51:26+00:00,3117735,Madrid,ES,2026-05-23,40.4375,-3.6875,Europe/Madrid,31.5,17.0,24.7,0.0,0.0,0.0,8.0
recent_weather,2026-07-01T14:51:26+00:00,3117735,Madrid,ES,2026-05-24,40.4375,-3.6875,Europe/Madrid,31.9,17.8,24.8,0.0,0.0,0.0,11.8
recent_weather,2026-07-01T14:51:26+00:00,3117735,Madrid,ES,2026-05-25,40.4375,-3.6875,Europe/Madrid,31.3,18.1,24.6,0.0,0.0,0.0,11.0
recent_weather,2026-07-01T14:51:26+00:00,3117735,Madrid,ES,2026-05-26,40.4375,-3.6875,Europe/Madrid,32.0,17.5,24.7,0.0,0.0,0.0,9.2
recent_weather,2026-07-01T14:51:26+00:00,3117735,Madrid,ES,2026-05-27,40.4375,-3.6875,Europe/Madrid,34.0,17.5,26.2,0.0,0.0,0.0,11.3
recent_weather,2026-07-01T14:51:26+00:00,3117735,Madrid,ES,2026-05-28,40.4375,-3.6875,Europe/Madrid,33.6,17.6,26.4,0.0,0.0,0.0,5.0
recent_weather,2026-07-01T14:51:26+00:00,3117735,Madrid,ES,2026-05-29,40.4375,-3.6875,Europe/Madrid,34.6,18.9,27.3,0.0,0.0,0.0,6.3
recent_weather,2026-07-01T14:51:26+00:00,3117735,Madrid,ES,2026-05-30,40.4375,-3.6875,Europe/Madrid,34.8,20.3,27.5,0.0,0.0,0.0,12.4
recent_weather,2026-07-01T14:51:26+00:00,3117735,Madrid,ES,2026-05-31,40.4375,-3.6875,Europe/Madrid,33.5,19.6,27.1,0.0,0.0,0.0,14.9
recent_weather,2026-07-01T14:51:26+00:00,3117735,Madrid,ES,2026-06-01,40.4375,-3.6875,Europe/Madrid,34.0,19.6,26.9,0.0,0.0,0.0,15.6
recent_weather,2026-07-01T14:51:26+00:00,3117735,Madrid,ES,2026-06-02,40.4375,-3.6875,Europe/Madrid,29.8,20.4,25.4,0.0,0.0,0.0,16.9
